carrier,serving_cellset,count
46000,37900-314,19
46000,37900-204,23
46000,1375-213,2
46000,1375-214,2
46000,1375-263,1
46000,1375-261,20
46000,3683-251,9
46000,3683-250,4
46000,3683-185,2
46000,38950-317,4
46000,38950-316,4
46000,38400-213,2
46000,39148-315,4
46000,38950-468,2
46000,39148-265,2
46000,39148-345,8
46000,38950-351,7
46000,38950-352,12
46000,39148-343,12
46000,38950-245,2
46000,38950-245/39148-126,1
46000,39148-126/39148-126,4
46000,39148-126,3
46000,39148-126/38950-245,1
46000,39148-125/38950-245,2
46000,39148-125,2
46000,39148-125/38950-244,1
46000,38950-244/38950-244,2
46000,38950-244,1
46000,38950-244/39148-125,1
46000,38950-123/39148-125,1
46000,38950-123,2
46000,38950-123/39148-240,6
46000,38950-475/39148-240,3
46000,38950-475,2
46000,38950-475/39148-115,2
46000,39148-115/39148-115,3
46000,39148-115,1
46000,39148-115/38950-475,2
46000,38950-475/38950-475,2
46000,39148-117/38950-475,2
46000,39148-117,1
46000,39148-117/38950-21,3
46000,38950-21/38950-21,2
46000,38950-21,1
46000,38950-21/39148-117,1
46000,38950-440/39148-117,2
46000,38950-440/39148-143,5
46000,39148-136/39148-143,2
46000,39148-136,1
46000,38950-408,6
46000,38950-135,2
46000,39148-410,2
46000,39148-131,3
46000,38950-407,10
46000,38950-412,6
46000,38950-412/39148-196,3
46000,39148-196/39148-196,2
46000,39148-196/38950-412,2
46000,38950-412/38950-412,4
46000,38950-407/39148-196,3
46000,39148-192/38950-412,2
46000,39148-192,10
46000,39148-192/38950-413,2
46000,38950-413/38950-413,4
46000,38950-413,2
46000,38950-413/39148-192,1
46000,39148-192/39148-192,2
46000,39148-190/38950-413,1
46000,39148-190/38950-414,11
46000,38950-414/38950-414,9
46000,38950-414,11
46000,38950-414/39148-190,6
46000,39148-190/39148-190,8
46000,39148-190,15
46000,75-339,1
46000,39148-144,3
46000,39148-144/38950-460,1
46000,39148-146/38950-460,1
46000,39148-146/38950-461,3
46000,39148-142/38950-461,2
46000,39148-142,5
46000,39148-142/38950-459,4
46000,38950-405/38950-459,1
46000,38950-405/39148-122,1
46000,38950-436/39148-122,2
46000,38950-436/39148-123,1
46000,39148-121/39148-123,1
46000,39148-121/38950-418,3
46000,39148-167/38950-418,1
46000,39148-167,3
46000,39148-167/38950-188,3
46000,38950-188/38950-188,6
46000,38950-188,6
46000,38950-188/39148-167,4
46000,39148-167/39148-167,4
46000,39148-163/38950-188,2
46000,39148-163,1
46000,39148-163/38950-433,3
46000,39148-162/38950-433,2
46000,39148-162,5
46000,39148-162/38950-432,6
46000,38950-432/38950-432,9
46000,38950-432,12
46000,38950-432/39148-162,6
46000,39148-162/39148-162,5
46000,39148-104/39148-162,2
46000,39148-104,1
46000,39148-104/38950-412,2
46000,38950-412/39148-104,1
46000,39148-104/39148-104,1
46000,39148-112/38950-412,2
46000,39148-112,4
46000,39148-112/38950-413,2
46000,38950-413/39148-112,1
46000,39148-112/39148-112,4
46000,38950-109/38950-413,2
46000,38950-109,2
46000,38950-109/39148-405,3
46000,39148-405/39148-405,2
46000,39148-405,2
46000,39148-405/38950-109,4
46000,39148-205/38950-109,1
46000,39148-205,8
46000,39148-205/38950-408,4
46000,38950-408/38950-408,5
46000,38950-408/39148-205,3
46000,39148-205/39148-205,6
46000,39148-209/38950-408,2
46000,39148-209,2
46000,39148-209/38950-459,2
46000,38950-459/38950-459,3
46000,38950-459/39148-209,2
46000,39148-209/39148-209,2
46000,38950-459,1
46000,38950-201/39148-209,2
46000,38950-201/39148-495,4
46000,39148-495/39148-495,4
46000,75-391,1
46000,38950-49,4
46000,38950-47,11
46000,38950-47/39148-303,3
46000,38950-49/39148-303,4
