ts operator freq cid missing_flag_new
2019-05-06 01:56:05.882831 310120 5035 225 False
2019-05-06 01:56:05.965771 310120 66611 420 False
2019-05-06 01:56:15.986280 310120 66611 420 False
2019-05-06 01:56:40.115035 310120 66611 407 False
2019-05-06 01:57:03.807639 310120 66611 268 False
2019-05-06 01:58:24.263953 310120 66611 268 False
2019-05-06 01:58:24.940769 310120 66611 268 False
2019-05-06 03:09:59.060154 310120 8640 371 False
2019-05-06 03:10:37.991873 310120 8640 371 False
2019-05-06 03:10:42.929188 310120 5035 240 False
2019-05-06 03:10:43.888944 310120 5035 240 False
2019-05-06 03:10:48.295219 310120 5035 240 False
2019-05-06 03:11:25.331304 310120 5035 241 False
2019-05-06 01:51:47.960894 310120 66611 187 False
2019-05-06 01:52:00.330844 310120 5035 52 False
2019-05-06 01:52:24.555790 310120 5035 52 False
2019-05-06 01:52:25.469067 310120 5035 52 False
2019-05-06 01:52:25.551451 310120 66611 187 False
2019-05-06 01:53:00.890765 310120 5035 52 False
2019-05-06 01:53:01.310291 310120 5035 52 False
2019-05-06 01:53:02.225758 310120 5035 52 False
2019-05-06 01:53:02.314375 310120 5035 52 False
2019-05-06 02:09:13.960011 310120 5035 330 False
2019-05-06 02:09:14.348139 310120 5035 330 False
2019-05-06 02:09:15.930003 310120 901 408 False
2019-05-06 02:09:38.760180 310120 901 408 False
2019-05-06 02:09:43.058879 310120 901 408 False
2019-05-06 02:10:02.815085 310120 901 408 False
2019-05-06 02:10:24.190933 310120 5035 323 False
2019-05-06 02:10:24.595667 310120 5035 323 False
2019-05-06 02:22:07.820137 310120 5035 104 False
2019-05-06 02:22:08.200540 310120 5035 104 False
2019-05-06 02:22:48.296685 310120 5035 454 False
2019-05-06 02:22:48.689146 310120 5035 454 False
2019-05-06 02:22:54.776542 310120 901 331 False
2019-05-06 02:23:19.345069 310120 901 331 False
2019-05-06 02:23:20.235044 310120 926 239 False
2019-05-06 02:23:28.490572 310120 926 239 False
2019-05-06 02:23:29.495094 310120 5035 104 False
2019-05-06 02:23:29.880619 310120 5035 104 False
2019-05-06 03:12:05.992589 310120 5035 104 False
2019-05-06 03:12:06.192647 310120 2300 104 True
2019-05-05 21:08:48.340543 31100 8763 380 False
2019-05-05 21:09:09.845007 31100 8763 380 False
2019-05-05 21:09:11.067095 31100 8763 395 False
2019-05-05 21:09:18.624029 31100 8763 395 False
2019-05-05 21:09:19.155904 31100 8763 395 False
2019-05-05 21:09:25.600259 31100 8763 395 False
2019-05-05 21:09:26.161423 31100 8565 395 False
2019-05-05 21:04:22.587649 31100 40978 169 False
2019-05-05 21:04:23.316589 31100 40978 169 False
2019-05-05 21:04:23.921991 31100 41176 213 False
2019-05-05 21:04:28.000932 31100 41176 213 False
2019-05-05 21:04:36.895799 31100 41176 213 False
2019-05-05 21:04:39.921678 31100 41176 213 False
2019-05-05 21:05:23.082155 31100 41176 213 False
2019-05-05 21:05:27.613045 31100 40978 279 False
2019-05-05 18:24:41.860228 31100 40978 212 False
2019-05-05 18:24:52.986988 31100 41176 106 False
2019-05-05 18:24:56.302175 31100 41176 353 False
2019-05-05 21:37:54.172007 31100 41176 102 False
2019-05-05 21:37:55.690121 31100 41176 102 False
2019-05-05 21:38:08.481958 31100 41176 102 False
2019-05-05 21:38:10.365031 31100 41176 102 False
2019-05-05 21:38:11.236913 31100 8763 370 False
2019-05-05 21:38:19.081655 31100 8763 370 False
2019-05-05 21:38:21.270352 31100 40978 218 False
2019-05-05 21:38:24.452042 31100 40978 370 False
2019-05-05 21:38:27.966368 31100 40978 370 False
2019-05-05 21:38:28.595809 31100 8763 370 False
2019-05-05 21:38:29.815639 31100 8763 370 False
2019-05-05 21:38:30.726286 31100 8640 370 False
2019-05-05 21:38:34.729118 31100 8640 370 False
2019-05-05 21:38:58.878080 31100 40978 370 False
2019-05-05 21:39:27.180104 31100 40978 370 False
2019-05-05 21:39:27.731472 31100 40978 370 False
2019-05-05 21:39:28.224425 31100 40978 370 False
2019-05-05 21:39:30.120245 31100 40978 258 False
2019-05-05 21:46:12.800070 31100 40978 258 False
2019-05-05 21:46:19.739147 31100 40978 258 False
2019-05-05 21:46:47.291285 31100 41176 220 False
2019-05-05 21:46:48.514355 31100 41176 220 False
2019-05-05 21:46:49.097666 31100 8640 220 False
2019-05-05 21:46:58.570074 31100 8640 220 False
2019-05-05 21:47:15.951338 31100 40978 220 False
2019-05-05 21:47:28.895785 31100 40978 220 False
2019-05-05 21:47:56.715322 31100 40978 220 False
2019-05-05 21:48:00.321677 31100 40978 220 False
2019-05-05 21:48:00.867692 31100 8763 15 False
2019-05-05 21:48:02.558101 31100 8763 15 False
2019-05-05 21:48:03.097740 31100 8640 220 False
2019-05-05 17:24:17.091250 31100 8290 93 False
2019-05-05 18:11:46.711321 31100 40270 383 False
2019-05-05 18:11:48.662921 31100 40270 383 False
2019-05-05 18:11:53.646962 31100 40270 383 False
2019-05-05 18:11:58.221669 31100 40270 383 False
2019-05-05 21:44:13.414353 31100 40270 383 False
2019-05-05 21:44:13.970049 31100 8763 164 False
2019-05-05 21:44:24.336371 31100 8763 164 False
2019-05-05 21:44:24.994280 31100 8763 208 False
2019-05-05 21:45:05.079474 31100 8763 208 False
2019-05-05 21:45:05.656620 31100 8640 207 False
2019-05-05 21:45:18.216309 31100 8640 207 False
2019-05-05 21:45:39.450770 31100 40978 207 False
2019-05-05 21:46:01.339113 31100 40978 207 False
2019-05-05 21:46:04.056914 31100 40978 207 False
2019-05-05 21:46:09.980581 31100 40978 207 False
2019-05-05 21:46:10.835836 31100 8763 208 False
2019-05-05 21:46:12.220526 31100 8763 208 False
2019-05-05 18:15:44.112923 31100 40978 246 False
2019-05-05 18:15:46.571365 31100 40978 246 False
2019-05-05 18:15:53.590914 31100 40978 246 False
2019-05-05 18:16:03.188214 31100 40978 246 False
2019-05-05 18:16:03.761759 31100 8763 122 False
2019-05-05 18:16:04.983129 31100 8763 122 False
2019-05-05 18:16:05.594132 31100 8270 122 False
2019-05-05 18:16:17.641295 31100 8270 122 False
2019-05-05 18:16:18.250604 31100 8270 69 False
2019-05-05 18:16:20.016584 31100 8270 69 False
2019-05-05 18:16:54.516264 31100 40978 246 False
2019-05-05 18:17:10.585053 31100 40978 246 False
2019-05-05 18:17:12.317110 31100 8763 140 False
2019-05-05 18:17:12.889560 31100 8763 140 False
2019-05-05 18:17:14.098098 31100 8763 140 False
2019-05-05 18:17:14.981815 31100 8665 118 False
2019-05-05 18:17:18.475112 31100 8665 118 False
2019-05-05 18:17:19.423302 31100 8665 118 False
2019-05-05 18:17:20.021861 31100 8640 140 False
2019-05-05 22:13:50.521965 31100 8763 227 False
2019-05-05 22:14:00.464081 31100 8763 227 False
2019-05-05 21:48:50.448178 31100 8763 227 False
2019-05-05 21:48:51.045010 31100 8640 134 False
2019-05-05 21:48:55.876503 31100 8640 134 False
2019-05-05 21:48:56.448907 31100 8640 220 False
2019-05-05 21:49:28.479227 31100 8640 220 False
2019-05-05 21:49:29.040848 31100 8640 134 False
2019-05-05 21:49:36.407099 31100 8640 134 False
2019-05-05 21:49:36.990145 31100 8640 55 False
2019-05-05 21:49:48.792509 31100 8640 55 False
2019-05-05 21:49:49.407995 31100 8640 134 False
2019-05-05 21:49:51.201573 31100 8640 134 False
2019-05-05 21:49:51.744566 31100 8640 55 False
2019-05-05 21:49:52.681299 31100 8640 55 False
2019-05-05 21:49:53.274022 31100 8640 134 False
2019-05-05 21:49:59.042012 31100 8640 134 False
2019-05-05 21:50:07.046916 31100 40978 134 False
