ts cid PCI last_cid EARFCN last_freq sib5_freq in_sib5_freq_get_qmin in_sib5_freq_get_threshq sib3 in_sib3_freq_get_threshq sib3_priority priority op TAC tac cid_256 qual_high qual_low highest_pri higher_serv
2019-06-15 06:54:36.649319 113046278 PCI 128 EARFCN 38098 3683 None None sib3 True 6 None None TAC 28967 441587 [-666, -666] False False
2019-06-15 05:55:38.193174 78567041 PCI 437 EARFCN 37900 1375 None None sib3 True 6 None None TAC 28727 306902 [-666, -666] False False
2019-07-05 06:13:57.617619 113035270 PCI 307 EARFCN 38098 1375 None None sib3 True 6 None None TAC 28734 441544 [-666, -666] False False
2019-06-30 07:40:55.006445 112954116 PCI 155 EARFCN 38098 3683 None None sib3 True 6 None None TAC 28730 441227 [-666, -666] False False
2019-06-30 07:47:49.071848 112836103 PCI 9 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28972 440766 [-666, -666] False False
2019-06-30 07:52:51.958261 113062666 PCI 417 EARFCN 40936 37900 None None sib3 True 6 None None TAC 28699 441651 [-666, -666] False False
2019-06-30 08:01:58.580814 113044232 PCI 493 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441579 [-666, -666] False False
2019-06-30 08:02:03.639315 113044232 PCI 493 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441579 [-666, -666] False False
2019-06-30 08:02:11.786944 113044232 PCI 493 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441579 [-666, -666] False False
2019-06-30 07:53:05.726275 113062665 PCI 476 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441651 [-666, -666] False False
2019-06-30 07:53:11.974259 113062662 PCI 422 EARFCN 38098 37900 None None sib3 True 6 None None TAC 28699 441651 [-666, -666] False False
2019-06-30 07:53:14.048952 113062665 PCI 476 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441651 [-666, -666] False False
2019-06-30 07:53:16.405390 113062662 PCI 422 EARFCN 38098 37900 None None sib3 True 6 None None TAC 28699 441651 [-666, -666] False False
2019-06-30 07:53:18.602878 113062665 PCI 476 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441651 [-666, -666] False False
2019-06-30 07:53:21.999224 113062662 PCI 422 EARFCN 38098 37900 None None sib3 True 6 None None TAC 28699 441651 [-666, -666] False False
2019-06-30 07:53:24.609005 113062665 PCI 476 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441651 [-666, -666] False False
2019-06-30 07:53:27.207023 113062662 PCI 422 EARFCN 38098 37900 None None sib3 True 6 None None TAC 28699 441651 [-666, -666] False False
2020-01-07 10:18:28.962622 129682563 PCI 18 EARFCN 38950 41134 None None sib3 True 5 None None TAC 4121 506572 [-666, -666] False False
2020-01-07 10:19:05.435553 129682563 PCI 18 EARFCN 38950 39148 None None sib3 True 5 None None TAC 4121 506572 [-666, -666] False False
2020-01-07 10:40:16.392646 129243014 PCI 196 EARFCN 38098 40936 None None sib3 True 5 None None TAC 4318 504855 [-666, -666] False False
2020-01-07 10:41:28.841295 129243011 PCI 196 EARFCN 40936 37900 None None sib3 True 5 None None TAC 4318 504855 [-666, -666] False False
2019-07-01 06:17:33.583013 144691008 PCI 414 EARFCN 39148 38098 None None sib3 True 7 None None TAC 29192 565199 [-666, -666] False False
2019-05-24 03:10:48.554102 144983063 PCI 304 EARFCN 37900 38098 None None sib3 True 5 None None TAC 34956 566340 [-666, -666] False False
2019-05-24 03:10:52.102583 144983063 PCI 304 EARFCN 37900 1275 None None sib3 True 5 None None TAC 34956 566340 [-666, -666] False False
2019-07-14 03:41:00.854182 9132309 PCI 396 EARFCN 37900 1275 False True sib3 True 7 6 None TAC 34603 35673 [-666, -666] True False
2019-07-14 03:41:00.854182 9132309 PCI 396 EARFCN 37900 1300 False True sib3 True 7 6 None TAC 34603 35673 [-666, -666] True False
2019-07-14 03:41:00.854182 9132309 PCI 396 EARFCN 37900 38098 False True sib3 True 7 6 None TAC 34603 35673 [-666, -666] True False
2019-07-14 03:41:00.854182 9132309 PCI 396 EARFCN 37900 40936 False True sib3 True 7 6 None TAC 34603 35673 [-666, -666] True False
2019-07-14 03:41:00.854182 9132309 PCI 396 EARFCN 37900 38400 False True sib3 True 7 5 None TAC 34603 35673 [-666, -666] False False
2019-07-14 03:41:00.854182 9132309 PCI 396 EARFCN 37900 38544 False True sib3 True 7 5 None TAC 34603 35673 [-666, -666] False False
