ts cid PCI last_cid EARFCN last_freq sib5_freq in_sib5_freq_get_qmin in_sib5_freq_get_threshq sib3 in_sib3_freq_get_threshq sib3_priority priority op TAC tac cid_256 qual_high qual_low highest_pri higher_serv
2019-05-15 19:26:17.544044 54234134 PCI 54 EARFCN 66686 2200 None None sib3 True 4 None ATT TAC 16669 211852 [-666, -666] False False
2019-05-15 19:28:02.860197 54234127 PCI 395 EARFCN 5145 675 None None sib3 True 2 None ATT TAC 16669 211852 [-666, -666] False False
2019-05-15 20:18:33.365387 53877258 PCI 275 EARFCN 675 1025 None None sib3 True 4 None ATT TAC 16667 210458 [-666, -666] False False
2019-05-15 20:05:30.873156 53819799 PCI 469 EARFCN 9820 5110 None None sib3 True 4 None ATT TAC 16670 210233 [-666, -666] False False
2019-05-15 18:11:08.399436 49926295 PCI 59 EARFCN 9820 850 None None sib3 True 4 None ATT TAC 19980 195024 [-666, -666] False False
2019-05-15 19:17:59.849533 54234384 PCI 186 EARFCN 5145 675 None None sib3 True 2 None ATT TAC 16669 211853 [-666, -666] False False
2019-05-15 21:12:30.176430 54093702 PCI 485 EARFCN 5110 2200 None None sib3 True 2 None ATT TAC 16666 211303 [-666, -666] False False
2019-05-15 20:35:04.277725 56288227 PCI 405 EARFCN 67086 675 None None sib3 True 4 None ATT TAC 16681 219875 [-666, -666] False False
2019-05-15 19:56:53.396950 54158051 PCI 366 EARFCN 67086 675 None None sib3 True 4 None ATT TAC 16670 211554 [-666, -666] False False
2019-05-15 22:49:39.285212 53850508 PCI 369 EARFCN 66686 5110 None None sib3 True 4 None ATT TAC 16666 210353 [-666, -666] False False
2019-05-15 19:05:13.816964 54235159 PCI 421 EARFCN 66686 675 None None sib3 True 4 None ATT TAC 16669 211856 [-666, -666] False False
2019-05-15 19:13:46.740098 54234640 PCI 378 EARFCN 5145 2200 None None sib3 True 2 None ATT TAC 16669 211854 [-666, -666] False False
2019-05-15 19:35:06.645437 53970185 PCI 147 EARFCN 675 5110 None None sib3 True 4 None ATT TAC 16669 210821 [-666, -666] False False
2019-05-15 19:35:37.569320 53821712 PCI 43 EARFCN 5110 675 None None sib3 True 2 None ATT TAC 16669 210241 [-666, -666] False False
2019-05-15 21:45:51.336615 55773822 PCI 414 EARFCN 675 5110 None None sib3 True 4 None ATT TAC 16666 217866 [-666, -666] False False
2019-05-15 20:23:18.531944 54139541 PCI 9 EARFCN 9840 5110 None None sib3 True 4 None ATT TAC 16667 211482 [-666, -666] False False
2019-05-15 20:59:25.085156 54173193 PCI 235 EARFCN 675 1025 None None sib3 True 4 None ATT TAC 16678 211614 [-666, -666] False False
2019-05-15 20:59:49.647179 54173409 PCI 235 EARFCN 1025 675 None None sib3 True 4 None ATT TAC 16678 211614 [-666, -666] False False
2019-05-15 21:15:42.674675 53850758 PCI 476 EARFCN 5110 675 None None sib3 True 2 None ATT TAC 16666 210354 [-666, -666] False False
2019-05-15 21:17:14.191815 55642749 PCI 475 EARFCN 675 5110 None None sib3 True 4 None ATT TAC 16666 217354 [-666, -666] False False
2019-05-15 19:32:58.972977 54234005 PCI 218 EARFCN 9820 5145 None None sib3 True 4 None ATT TAC 16669 211851 [-666, -666] False False
2019-05-15 23:09:13.606977 54749838 PCI 396 EARFCN 66686 2425 None None sib3 True 4 None ATT TAC 16666 213866 [-666, -666] False False
2019-05-15 20:13:02.030411 54145815 PCI 22 EARFCN 66686 9840 None None sib3 True 4 None ATT TAC 16667 211507 [-666, -666] False False
2019-05-15 20:13:37.830907 54133909 PCI 270 EARFCN 9840 675 None None sib3 True 4 None ATT TAC 16667 211460 [-666, -666] False False
2019-05-15 20:13:51.412634 53819402 PCI 239 EARFCN 675 1025 None None sib3 True 4 None ATT TAC 16667 210232 [-666, -666] False False
2019-05-15 20:14:06.139504 54145816 PCI 386 EARFCN 66686 2200 None None sib3 True 4 None ATT TAC 16667 211507 [-666, -666] False False
2019-05-15 20:14:15.238225 54145816 PCI 386 EARFCN 2200 675 None None sib3 True 4 None ATT TAC 16667 211507 [-666, -666] False False
2019-05-15 20:14:18.315107 53819402 PCI 239 EARFCN 675 5110 None None sib3 True 4 None ATT TAC 16667 210232 [-666, -666] False False
2019-05-15 19:53:04.095436 54187018 PCI 418 EARFCN 675 9820 None None sib3 True 4 None ATT TAC 16670 211668 [-666, -666] False False
2019-05-15 19:53:54.021487 54187159 PCI 418 EARFCN 9820 675 None None sib3 True 4 None ATT TAC 16670 211668 [-666, -666] False False
2019-05-15 19:54:08.126308 53828618 PCI 284 EARFCN 675 5110 None None sib3 True 4 None ATT TAC 16670 210268 [-666, -666] False False
2019-05-15 22:56:14.712567 55773814 PCI 414 EARFCN 2425 675 None None sib3 True 2 None ATT TAC 16666 217866 [-666, -666] False False
